episode,score,rolling_avg_score,best_score
1,-148.41631252000218,-148.41631252000218,-148.41631252000218
2,-577.1259875135502,-362.7711500167762,-148.41631252000218
3,-1125.4370013631387,-616.9931004655637,-148.41631252000218
4,-1213.2066366252457,-766.0464845054842,-148.41631252000218
5,-1012.320703670846,-815.3013283385565,-148.41631252000218
6,-764.8033074497198,-806.8849915237503,-148.41631252000218
7,-827.7599486967911,-809.8671282627562,-148.41631252000218
8,-1071.5722783363726,-842.5802720219583,-148.41631252000218
9,-760.0224861439158,-833.4071847021758,-148.41631252000218
10,-1621.9972785342359,-912.2661940853817,-148.41631252000218
11,-720.4119552491866,-894.8248996457277,-148.41631252000218
12,-784.9744321599311,-885.6706940219113,-148.41631252000218
13,-814.3850318077576,-880.1871815438996,-148.41631252000218
14,-960.2369699202527,-885.9050235707819,-148.41631252000218
15,-1525.2451081448412,-928.5276958757191,-148.41631252000218
16,-1100.267781305806,-939.2614512150997,-148.41631252000218
17,-1464.5770306451273,-970.1623676521601,-148.41631252000218
18,-1237.8209754721283,-985.0322903088249,-148.41631252000218
19,-1512.2133653906724,-1012.7786626815538,-148.41631252000218
20,-1406.3521665318108,-1032.4573378740665,-148.41631252000218
21,-1189.792294309925,-1039.9494786567266,-148.41631252000218
22,-805.9562570755297,-1029.3134231303086,-148.41631252000218
23,-1788.8719041953257,-1062.337704915744,-148.41631252000218
24,-1173.4853394522886,-1066.9688563547668,-148.41631252000218
25,-770.1989712233992,-1055.098060949512,-148.41631252000218
26,-403.3705338747423,-1030.0316176004824,-148.41631252000218
27,-469.6896793285444,-1009.2782124792996,-148.41631252000218
28,-413.24618410822404,-987.9913543231897,-148.41631252000218
29,-489.41396657707264,-970.7990306078063,-148.41631252000218
30,-368.17681759624924,-950.7116235074211,-148.41631252000218
31,-283.0337740335726,-929.1736283631035,-148.41631252000218
32,-293.3888862217439,-909.305355171186,-148.41631252000218
33,-485.2852562050066,-896.4562612631199,-148.41631252000218
34,-670.1163564410978,-889.7992052389427,-148.41631252000218
35,-642.8853637697271,-882.7445240541081,-148.41631252000218
36,-653.8674406343679,-876.3868272924486,-148.41631252000218
37,-784.9964330751073,-873.9168166379259,-148.41631252000218
38,-616.6673106371798,-867.147092795801,-148.41631252000218
39,-636.5432051927252,-861.2341726008503,-148.41631252000218
40,-198.7483243529679,-844.6720263946532,-148.41631252000218
41,-229.80537124921335,-829.675278708179,-148.41631252000218
42,-251.57008286901967,-815.910869283437,-148.41631252000218
43,-126.95660662312457,-799.8886771285462,-148.41631252000218
44,-200.3836846834857,-786.2635636638857,-148.41631252000218
45,-236.9860208954855,-774.0573960468101,-148.41631252000218
46,-244.95985710291572,-762.5552756349863,-148.41631252000218
47,-250.14370145728208,-751.6529017163117,-148.41631252000218
48,-177.07608674974693,-739.6825514045084,-148.41631252000218
49,-227.51542646784452,-729.2301610996785,-148.41631252000218
50,-151.12071408904882,-717.6679721594659,-148.41631252000218
51,-178.70849025227875,-707.1001391808935,-148.41631252000218
52,-158.11353775453927,-696.542704538079,-148.41631252000218
53,-270.0061916130464,-688.4948458036444,-148.41631252000218
54,-341.517915711103,-682.0693470982269,-148.41631252000218
55,-110.42592892438394,-671.6758304041571,-148.41631252000218
56,-231.3091710580083,-663.8121400586903,-148.41631252000218
57,-76.56163566573848,-653.5094996307438,-148.41631252000218
58,-359.48302181784476,-648.4400775994869,-148.41631252000218
59,-88.86219993459771,-638.9557067916074,-148.41631252000218
60,-140.975874174707,-630.6560429146591,-148.41631252000218
61,-102.40328315929538,-621.996161607194,-148.41631252000218
62,-111.96390566391223,-613.7698348984314,-148.41631252000218
63,-117.11627717523602,-605.8864450933014,-148.41631252000218
64,-130.41152460396358,-598.4571494606555,-148.41631252000218
65,-116.34662631775082,-591.0400644892262,-148.41631252000218
66,-131.9662309798253,-584.0844003451443,-148.41631252000218
67,-82.7006742643121,-576.6010611499081,-148.41631252000218
68,-83.45054136494093,-569.3488476236586,-148.41631252000218
69,-191.0632288819164,-563.8664473520391,-148.41631252000218
70,-71.28981228504945,-556.8296382796536,-148.41631252000218
71,-51.676373110748635,-549.7148035589648,-148.41631252000218
72,-180.67741894798615,-544.5892843282567,-148.41631252000218
73,-321.70781388848934,-541.5361135003146,-148.41631252000218
74,-109.88069951004033,-535.7029322301757,-148.41631252000218
75,-93.20700282095731,-529.8029865047195,-148.41631252000218
76,-134.114195169608,-524.5965550397838,-148.41631252000218
77,-134.8911895448736,-519.5354463969927,-148.41631252000218
78,-111.98384739725202,-514.3104258969961,-148.41631252000218
79,-112.74042417392135,-509.22726131822293,-148.41631252000218
80,-198.20883290040348,-505.3395309630003,-148.41631252000218
81,-281.3092345866632,-502.57372483489735,-148.41631252000218
82,-136.36261770776755,-498.10773572359085,-148.41631252000218
83,-112.86653086015747,-493.46627542403144,-148.41631252000218
84,-138.89502597562426,-489.2451891210742,-148.41631252000218
85,-184.0243651784932,-485.6543558982203,-148.41631252000218
86,-87.05745757711581,-481.01950824332374,-148.41631252000218
87,-131.83201831608727,-477.00585893381526,-148.41631252000218
88,-236.12774245696215,-474.2686076102147,-148.41631252000218
89,-159.30970515040065,-470.72974353763254,-148.41631252000218
90,-111.33493709235051,-466.73646791046275,-148.41631252000218
91,-142.9657658771732,-463.17854810789913,-148.41631252000218
92,-68.88464954949136,-458.8927448626991,-148.41631252000218
93,-126.92198325861737,-455.3231667809348,-148.41631252000218
94,-83.6989474876694,-451.36971763951703,-148.41631252000218
95,-113.80456972826224,-447.81640029308284,-148.41631252000218
96,-19.989893735344555,-443.35987418310634,-148.41631252000218
97,-129.48961031935903,-440.12409826698524,-148.41631252000218
98,-95.64577093890259,-436.6090132942497,-148.41631252000218
99,-150.0886769716599,-433.7148684829104,-148.41631252000218
100,-102.04218956625417,-430.3981416937438,-148.41631252000218
101,-104.27085374215699,-429.95668710596533,-148.41631252000218
102,-117.63680903312589,-425.36179532116114,-148.41631252000218
103,-134.5026435918682,-415.4524517434484,-148.41631252000218
104,-75.68942478048012,-404.07727962500076,-148.41631252000218
105,-98.00924284294116,-394.93416501672175,-148.41631252000218
106,-199.67339350408935,-389.2828658772654,-148.41631252000218
107,-135.40474689590732,-382.35931385925664,-148.41631252000218
108,-278.54686737777996,-374.4290597496706,-148.41631252000218
109,-152.37952997575505,-368.35263018798906,-148.41631252000218
110,-111.11320853956511,-353.2437894880424,-148.41631252000218
111,-123.45445975425618,-347.274214533093,-148.41631252000218
112,-138.46980202889108,-340.8091682317826,-148.41631252000218
113,-82.13248517290191,-333.48664276543406,-148.41631252000218
114,-217.15568195947765,-326.0558298858263,-148.41631252000218
115,-100.26059069311076,-311.805984711309,-148.41631252000218
116,-66.64624300243173,-301.4697693282753,-148.41631252000218
117,-48.57240200759321,-287.30972304189993,-148.41631252000218
118,-131.35319002927884,-276.2450451874714,-148.41631252000218
119,-120.7321685806414,-262.33023321937117,-148.41631252000218
120,-73.44865955555198,-249.00119814960854,-148.41631252000218
121,-102.90031816267907,-238.1322783881361,-148.41631252000218
122,-86.60351661469196,-230.93875098352768,-148.41631252000218
123,-65.7363154041314,-213.7073950956157,-148.41631252000218
124,-142.09907429875628,-203.39353244408036,-148.41631252000218
125,-100.4642889394273,-196.69618562124066,-148.41631252000218
126,-67.92792293437,-193.34175951183698,-148.41631252000218
127,-80.66023948154744,-189.45146511336702,-148.41631252000218
128,-71.97323381756773,-186.03873561046046,-148.41631252000218
129,-123.63294899768009,-182.38092543466652,-148.41631252000218
130,-103.85217812165601,-179.73767903992064,-148.41631252000218
131,-88.01634442936232,-177.7875047438785,-148.41631252000218
132,-107.22217787089171,-175.92583766036998,-148.41631252000218
133,-113.89219235937708,-172.21190702191365,-148.41631252000218
134,-105.08127470146621,-166.56155620451736,-148.41631252000218
135,-76.70026124616918,-160.8997051792818,-148.41631252000218
136,-202.3623154321976,-156.38465392726008,-148.41631252000218
137,-116.7957921648142,-149.70264751815714,-148.41631252000218
138,-89.61067848049737,-144.4320811965903,-144.4320811965903
139,-105.06098365565447,-139.1172589812196,-139.1172589812196
140,-103.7115127205633,-138.16689086489558,-138.16689086489558
141,-132.71783647163082,-137.19601551711975,-137.19601551711975
142,-347.36264242464057,-138.15394111267597,-137.19601551711975
143,-45.31153881400325,-137.33749043458477,-137.19601551711975
144,-136.16419843856823,-136.6952955721356,-136.6952955721356
145,-112.80586262524218,-135.45349398943313,-135.45349398943313
146,-76.92868912466827,-133.77318230965068,-133.77318230965068
147,-119.77213356894538,-132.4694666307673,-132.4694666307673
148,-90.34119266943522,-131.6021176899642,-131.6021176899642
149,-150.80608597152968,-130.83502428500103,-130.83502428500103
150,-57.85115456404256,-129.902328689751,-129.902328689751
151,-109.37700356699646,-129.20901382289816,-129.20901382289816
152,-85.09369210323368,-128.47881536638508,-128.47881536638508
153,-115.11503719102144,-126.92990382216485,-126.92990382216485
154,-57.74034388266308,-124.09212810388043,-124.09212810388043
155,-118.59342117685273,-124.17380302640511,-124.09212810388043
156,-102.95027945070325,-122.89021411033205,-122.89021411033205
157,-105.5745194798603,-123.18034294847328,-122.89021411033205
158,-51.87652029905385,-120.10427793328537,-120.10427793328537
159,-128.73671489691478,-120.50302308290856,-120.10427793328537
160,-68.94346390384871,-119.78269898019997,-119.78269898019997
161,-80.34518443437825,-119.5621179929508,-119.5621179929508
162,-116.48608002582085,-119.60733973656988,-119.5621179929508
163,-77.77555072195783,-119.21393247203709,-119.21393247203709
164,-75.38094354766899,-118.66362666147415,-118.66362666147415
165,-31.68223739208979,-117.81698277221753,-117.81698277221753
166,-109.16544681413781,-117.58897493056067,-117.58897493056067
167,-77.54315234419717,-117.53739971135953,-117.53739971135953
168,-51.98127448919826,-117.22270704260211,-117.22270704260211
169,-51.54980855630595,-115.82757283934602,-115.82757283934602
170,-156.702736093657,-116.68170207743209,-115.82757283934602
171,-99.23187552076736,-117.15725710153228,-115.82757283934602
172,-130.7847513006438,-116.65833042505885,-115.82757283934602
173,-27.61399441359296,-113.71739223030987,-113.71739223030987
174,-88.84587979592041,-113.50704403316865,-113.50704403316865
175,35.48889418226122,-112.22008506313651,-112.22008506313651
176,-77.24680522040586,-111.65141116364448,-111.65141116364448
177,-110.67681726544225,-111.40926744085019,-111.40926744085019
178,-90.86542172547594,-111.19808318413239,-111.19808318413239
179,-13.069920477621611,-110.20137814716938,-110.20137814716938
180,-214.480441702802,-110.36409423519339,-110.20137814716938
181,-72.68985829692902,-108.27790047229604,-108.27790047229604
182,-60.77291080854021,-107.52200340330378,-107.52200340330378
183,-100.30306965122882,-107.39636879121448,-107.39636879121448
184,-297.82746003443253,-108.98569313180256,-107.39636879121448
185,-70.48256031703471,-107.85027508318795,-107.39636879121448
186,-377.2239485111977,-110.75193999252879,-107.39636879121448
187,-7.7951902355828535,-109.51157171172376,-107.39636879121448
188,-210.24178049877867,-109.2527120921419,-107.39636879121448
189,-229.8313333483146,-109.95792837412104,-107.39636879121448
190,-66.56397627243358,-109.51021876592189,-107.39636879121448
191,-123.07243963534425,-109.31128550350357,-107.39636879121448
192,-54.6567125878365,-109.16900613388705,-107.39636879121448
193,-139.9601951266736,-109.29938825256761,-107.39636879121448
194,-69.19071732018972,-109.15430595089282,-107.39636879121448
195,-90.58769070161108,-108.92213716062632,-107.39636879121448
196,-153.66431605063107,-110.25888138377918,-107.39636879121448
197,-121.57710045871977,-110.17975628517279,-107.39636879121448
198,-161.36229941668844,-110.83692156995066,-107.39636879121448
199,-149.03000679176427,-110.8263348681517,-107.39636879121448
200,-139.0636301563946,-111.1965492740531,-107.39636879121448
201,-108.98438549707093,-111.24368459160225,-107.39636879121448
202,-215.24497105203977,-112.21976621179138,-107.39636879121448
203,-266.4023812162095,-113.53876358803478,-107.39636879121448
204,-87.68314506009477,-113.65870079083092,-107.39636879121448
205,-151.36984451872613,-114.19230680758875,-107.39636879121448
206,-390.39149211594344,-116.09948779370728,-107.39636879121448
207,-259.8087613584373,-117.34352793833258,-107.39636879121448
208,-142.00983013515304,-115.97815756590633,-107.39636879121448
209,-111.44801902959956,-115.5688424564448,-107.39636879121448
210,-196.9369659526791,-116.42708003057592,-107.39636879121448
211,-194.15866778212674,-117.13412211085462,-107.39636879121448
212,-134.31352816963084,-117.09255937226204,-107.39636879121448
213,-148.14230326467552,-117.75265755317977,-107.39636879121448
214,-154.8961133922252,-117.13006186750725,-107.39636879121448
215,-94.25611998253486,-117.07001716040148,-107.39636879121448
216,-169.97088041307882,-118.10326353450795,-107.39636879121448
217,-106.89463864200161,-118.68648590085202,-107.39636879121448
218,-189.63516528157095,-119.26930565337493,-107.39636879121448
219,-116.96125574399188,-119.23159652500844,-107.39636879121448
220,-72.72358216430874,-119.224345751096,-107.39636879121448
221,-109.27026525254837,-119.2880452219947,-107.39636879121448
222,-132.0060271962336,-119.74207032781014,-107.39636879121448
223,-133.40459179926668,-120.41875309176146,-107.39636879121448
224,-170.94863012904375,-120.70724865006436,-107.39636879121448
225,-231.06879199776776,-122.01329368064776,-107.39636879121448
226,-265.57443248260006,-123.98975877613007,-107.39636879121448
227,-272.2045800032728,-125.9052021813473,-107.39636879121448
228,-165.97396110362598,-126.84520945420792,-107.39636879121448
229,-269.3138898304532,-128.30201886253562,-107.39636879121448
230,-353.0471692442568,-130.79396877376163,-107.39636879121448
231,-340.21332662070836,-133.3159385956751,-107.39636879121448
232,-255.55836048743302,-134.7993004218405,-107.39636879121448
233,-134.38483083546922,-135.00422680660145,-107.39636879121448
234,-122.3336000552408,-135.17675006013917,-107.39636879121448
235,-140.94906466447893,-135.8192380943223,-107.39636879121448
236,-148.54126688862894,-135.2810276088866,-107.39636879121448
237,-143.17302386757407,-135.5447999259142,-107.39636879121448
238,-215.54472186851748,-136.8041403597944,-107.39636879121448
239,-243.9278098560395,-138.19280862179824,-107.39636879121448
240,-233.9092400500513,-139.49478589509312,-107.39636879121448
241,-121.95880610984422,-139.38719559147526,-107.39636879121448
242,-142.99542686688153,-137.34352343589765,-107.39636879121448
243,-198.20103832590215,-138.87241843101665,-107.39636879121448
244,-207.62646778004847,-139.58704112443147,-107.39636879121448
245,-123.7368572980312,-139.69635107115934,-107.39636879121448
246,-177.2552117183384,-140.69961629709604,-107.39636879121448
247,-341.50263490970974,-142.91692131050368,-107.39636879121448
248,-126.78885076995954,-143.28139789150893,-107.39636879121448
249,-302.18347696839714,-144.7951718014776,-107.39636879121448
250,-170.67215601762013,-145.92338181601338,-107.39636879121448
251,-122.85515466110022,-146.05816332695443,-107.39636879121448
252,6.560062621220355,-145.1416257797099,-107.39636879121448
253,-273.78933331313334,-146.72836874093102,-107.39636879121448
254,55.116617488371254,-145.59979912722068,-107.39636879121448
255,6.279486376395281,-144.3510700516882,-107.39636879121448
256,-422.4712586266677,-147.54627984344782,-107.39636879121448
257,-20.898032075649688,-146.69951496940573,-107.39636879121448
258,-94.66467502760948,-147.12739651669125,-107.39636879121448
259,38.444456444706816,-145.45558480327503,-107.39636879121448
260,-124.18378746040739,-146.00798803884064,-107.39636879121448
261,-149.2089113157539,-146.6966253076544,-107.39636879121448
262,-207.42649451113047,-147.6060294525075,-107.39636879121448
263,-259.09970308141374,-149.41927097610207,-107.39636879121448
264,52.35043932719822,-148.1419571473534,-107.39636879121448
265,-161.69387874905277,-149.442073560923,-107.39636879121448
266,-99.99909172169345,-149.35041000999857,-107.39636879121448
267,204.0553873526784,-146.5344246130298,-107.39636879121448
268,29.229883236908393,-145.72231303576874,-107.39636879121448
269,17.917119001328224,-145.0276437601924,-107.39636879121448
270,-6.5213635426472045,-143.52583003468234,-107.39636879121448
271,-164.73310059306573,-144.1808422854053,-107.39636879121448
272,-147.67198112572117,-144.3497145836561,-107.39636879121448
273,-41.565500806993974,-144.48922964759007,-107.39636879121448
274,-156.04423504796728,-145.16121320011055,-107.39636879121448
275,-132.98087964433492,-146.84591093837653,-107.39636879121448
276,-71.5710149369842,-146.7891530355423,-107.39636879121448
277,-160.81879397010837,-147.29057280258897,-107.39636879121448
278,-86.66058059307261,-147.24852439126494,-107.39636879121448
279,-71.40581458869029,-147.8318833323756,-107.39636879121448
280,-177.49567575860544,-147.46203567293367,-107.39636879121448
281,-167.959263449606,-148.41472972446041,-107.39636879121448
282,-92.30624583814522,-148.73006307475646,-107.39636879121448
283,-185.191452673875,-149.5789469049829,-107.39636879121448
284,-161.99636643846407,-148.22063596902325,-107.39636879121448
285,-67.0798765023163,-148.18660913087604,-107.39636879121448
286,-384.21037023905836,-148.25647334815466,-107.39636879121448
287,19.471598260208506,-147.98380546319675,-107.39636879121448
288,31.096060868855226,-145.5704270495204,-107.39636879121448
289,195.45633924057012,-141.31755032363154,-107.39636879121448
290,-162.81723682692896,-142.2800829291765,-107.39636879121448
291,-455.6237305141375,-145.60559583796444,-107.39636879121448
292,226.36838279696553,-142.7953448841164,-107.39636879121448
293,-64.25052248374725,-142.03824815768715,-107.39636879121448
294,-76.6402156736183,-142.11274314122144,-107.39636879121448
295,-84.2466741112553,-142.0493329753179,-107.39636879121448
296,2.8293730024338686,-140.48439608478725,-107.39636879121448
297,172.06302370029175,-137.54799484319713,-107.39636879121448
298,-275.843032385038,-138.69280217288062,-107.39636879121448
299,-137.02351661466446,-138.57273727110965,-107.39636879121448
300,246.10939951918314,-134.72100697435388,-107.39636879121448
301,-1.8253646543654867,-133.64941676592682,-107.39636879121448
302,84.8923439741041,-130.64804361566536,-107.39636879121448
303,28.56797690330167,-127.69834003447023,-107.39636879121448
304,-153.02572767095268,-128.3517658605788,-107.39636879121448
305,-110.19377820184722,-127.94000519741003,-107.39636879121448
306,128.39574066451019,-122.7521328696055,-107.39636879121448
307,-226.13400914462642,-122.4153853474674,-107.39636879121448
308,-11.078256390669665,-121.10606961002257,-107.39636879121448
309,155.34064052113138,-118.43818301451527,-107.39636879121448
310,248.67913167206916,-113.98202203826776,-107.39636879121448
311,112.19985384395315,-110.91843682200697,-107.39636879121448
312,-32.28706343350554,-109.89817217464568,-107.39636879121448
313,-82.61944796052015,-109.24294362160414,-107.39636879121448
314,189.07473231944982,-105.80323516448739,-105.80323516448739
315,183.9113091831224,-103.02156087283083,-103.02156087283083
316,228.18445430646008,-99.04000752563545,-99.04000752563545
317,-6.4498656958865155,-98.0355597961743,-98.0355597961743
318,11.903016639342127,-96.02017797696517,-96.02017797696517
319,216.29863410587564,-92.6875790784665,-92.6875790784665
320,-34.116949275138026,-92.30151274957478,-92.30151274957478
321,215.41361006210988,-89.0546739964282,-89.0546739964282
322,-90.54937947634514,-88.64010751922932,-88.64010751922932
323,229.3679964420964,-85.01238163681566,-85.01238163681566
324,194.70311780252302,-81.3558641575,-81.3558641575
325,-84.3831191953658,-79.88900742947598,-79.88900742947598
326,27.170988862242723,-76.96155321602755,-76.96155321602755
327,-139.13282514983203,-75.63083566749316,-75.63083566749316
328,-165.99381544650237,-75.63103421092192,-75.63083566749316
329,-19.032691915689778,-73.12822223177427,-73.12822223177427
330,224.84040241679656,-67.34934651516375,-67.34934651516375
331,200.4884063775588,-61.94232918518107,-61.94232918518107
332,-143.64447657884443,-60.823190346095195,-60.823190346095195
333,5.196992035871432,-59.427372117381786,-59.427372117381786
334,239.06836772058898,-55.81335243962349,-55.81335243962349
335,256.9302890585937,-51.834558902392764,-51.834558902392764
336,196.7828773793939,-48.381317459712534,-48.381317459712534
337,185.22690629146354,-45.09731815812215,-45.09731815812215
338,235.1560898868289,-40.590310040568696,-40.590310040568696
339,182.00305711270704,-36.33100137088124,-36.33100137088124
340,208.08915009644852,-31.911017469416233,-31.911017469416233
341,185.704826867867,-28.83438113963912,-28.83438113963912
342,1.4489343333147673,-27.389937527637162,-27.389937527637162
343,178.67095027702732,-23.621217641607863,-23.621217641607863
344,-20.83379695589534,-21.753290933366333,-21.753290933366333
345,204.14292779273686,-18.474493082458654,-18.474493082458654
346,196.33060244343642,-14.738634940840907,-14.738634940840907
347,202.07467782806054,-9.302861813463203,-9.302861813463203
348,151.663292401802,-6.518340381745587,-6.518340381745587
349,206.47337054642935,-1.4317719065973222,-1.4317719065973222
350,203.3597358797806,2.3085470123766836,2.3085470123766836
351,3.3007200530773417,3.5701057595184587,3.5701057595184587
352,-207.33000185356465,1.431205114770607,3.5701057595184587
353,178.68819813335833,5.955980429235525,5.955980429235525
354,10.394453918634696,5.508758793538158,5.955980429235525
355,45.77532596949149,5.903717189469119,5.955980429235525
356,149.95200372811348,11.627949813016933,11.627949813016933
357,193.02452315351138,13.767175365308544,13.767175365308544
358,11.483482101833886,14.828656936602979,14.828656936602979
359,-141.39372933204032,13.030275078835505,14.828656936602979
360,185.45369657257447,16.126649919165324,16.126649919165324
361,259.3122541018855,20.211861573341718,20.211861573341718
362,246.31481075422226,24.74927462599525,24.74927462599525
363,-5.95002535444155,27.28077140326497,27.28077140326497
364,224.50135710268935,29.002280581019882,29.002280581019882
365,242.30675181730484,33.042286886683456,33.042286886683456
366,37.04005307292073,34.4126783346296,34.4126783346296
367,253.40506567267167,34.90617511782953,34.90617511782953
368,-187.58609181832887,32.73801536727716,34.90617511782953
369,-17.003900015756926,32.388805177106306,34.90617511782953
370,-9.680742780153622,32.357211384731244,34.90617511782953
371,24.077465846184865,34.245317049123756,34.90617511782953
372,-61.261955939767915,35.10941730098328,35.10941730098328
373,-22.248744987789337,35.302584859175326,35.302584859175326
374,221.8164052056349,39.08119126171135,39.08119126171135
375,-131.37888694835112,39.09721118867119,39.09721118867119
376,189.95708102154478,41.71249214825648,41.71249214825648
377,205.05796404121162,45.371259728369665,45.371259728369665
378,31.944804833023397,46.557313582630634,46.557313582630634
379,199.10690332428058,49.262440761760345,49.262440761760345
380,174.4374560291609,52.78177207963801,52.78177207963801
381,-236.35618511198953,52.09780286301417,52.78177207963801
382,-9.785118044978859,52.923014140945845,52.923014140945845
383,143.96765745104778,56.21460524219506,56.21460524219506
384,-34.52057836019861,57.48936312297772,57.48936312297772
385,226.09599723986514,60.42112186039954,60.42112186039954
386,-14.766241156164355,64.11556315122849,64.11556315122849
387,-404.51241094283,59.87572305919809,64.11556315122849
388,194.5849463247551,61.510611913757096,64.11556315122849
389,-147.72371048493054,58.07881141650208,64.11556315122849
390,23.42343366424204,59.9412181214138,64.11556315122849
391,212.05485744968814,66.61800400105203,66.61800400105203
392,231.01871007536494,66.66450727383604,66.66450727383604
393,250.21068140876773,69.80911931276118,69.80911931276118
394,-158.50676516346581,68.99045381786271,69.80911931276118
395,135.75051913191686,71.19042575029444,71.19042575029444
396,105.65601634749734,72.21869218374508,72.21869218374508
397,204.64239527236845,72.54448589946584,72.54448589946584
398,250.82567337669826,77.8111729570832,77.8111729570832
399,155.54443664116047,80.73685248964145,80.73685248964145
400,273.4174442968698,81.00993293741831,81.00993293741831
401,15.967913019948426,81.18786571416145,81.18786571416145
402,-120.88809262270937,79.13006134819332,81.18786571416145
403,235.8573544716276,81.20295512387658,81.20295512387658
404,276.62291245940065,85.49944152518012,85.49944152518012
405,286.1815802067057,89.46319510926565,89.46319510926565
406,167.7649809196618,89.85688751181715,89.85688751181715
407,37.64757694344671,92.4947033726979,92.4947033726979
408,200.7976107290234,94.61346204389481,94.61346204389481
409,125.88348361678914,94.31889047485141,94.61346204389481
410,-41.1617642326502,91.42048151580423,94.61346204389481
411,-205.7330183216913,88.24115279414777,94.61346204389481
412,251.1177021270076,91.0752004497529,94.61346204389481
413,-371.66293680511404,88.18476556130695,94.61346204389481
414,167.81449355061307,87.9721631736186,94.61346204389481
415,-268.9431136758396,83.44361894502896,94.61346204389481
416,30.432465240932288,81.46609905437369,94.61346204389481
417,59.10389249426282,82.12163663627518,94.61346204389481
418,125.52390306912785,83.25784550057304,94.61346204389481
419,147.55724482942196,82.57043160780852,94.61346204389481
420,123.66118401190562,84.14821294067895,94.61346204389481
